PEDIDO;Driver ID;Driver Name;Destination Hub;Data;OnHoldReason;status
BR2387837738226;381;Chancey Beadnell;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR235172810982K;478;Chance Moine;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR2386370964656;297;Olympie Guillet;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR234928297514I;216;Carmelita Limer;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;App/Internet failure;Delivering
BR239567546696Q;98;Stacie Croix;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Normal;OnHold
BR233866797466H;432;Garwood McIlriach;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR239371981942Q;360;Kippie Burgisi;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;App/Internet failure;Delivering
BR232582994406W;397;Ettie Jays;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR235675002040E;158;Belvia Side;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR2345598558803;486;Kean Anespie;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;App/Internet failure;Delivered
BR239610288812R;457;Cicily Dillintone;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;App/Internet failure;Delivered
BR231917979795N;404;Christin Parcall;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR238081158894Q;10;Belinda Fishbie;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Out of the route ;Delivered
BR232917420887J;409;Devy Camlin;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR2306058412989;24;Cassie Karet;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR2397033086965;482;Chrisse Delatour;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR239214987318P;205;Peirce Jozsa;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR238286345869Z;334;Fulvia Minigo;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Normal;Delivered
BR238773287627J;300;Abbe Empson;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Normal;OnHold
BR2324044958441;435;Rodolph Collyear;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR230199255956I;360;Kippie Burgisi;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Out of the route ;Delivering
BR232705017080K;233;Wheeler Cameli;LM Hub_SP_Mauá_Vila Nossa Senhora das Vitórias;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR237646326415C;174;Corbett Goathrop;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR236868948979S;247;Franchot Llewellin;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR237380644962R;361;Danie Hardman;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR234534632304W;162;Alfonse Keele;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;App/Internet failure;Delivering
BR231215345296V;465;Neal D'Aeth;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Address cannot be found;Delivered
BR231418180490J;171;Anthiathia Pardy;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR238770906380G;232;Gwenneth Boxill;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Normal;Delivered
BR238540355237Z;485;Sergio Ambrosetti;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR2327059007345;214;Latisha Vella;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Address cannot be found;Delivering
BR238707660021W;62;Darcee Keaton;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Normal;Delivered
BR238788422388X;363;Cecilius McCafferky;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR2328223933086;423;Merralee Keiley;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR2300351547907;206;Idalia Delve;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR237893438681U;228;Randal Dobbison;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Normal;OnHold
BR2335866129001;55;Janith Rigeby;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR235155167620M;264;Ray Guye;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;App/Internet failure;Delivering
BR232084137769C;25;Wallie Tytterton;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Out of the route ;OnHold
BR237985771041D;233;Wheeler Cameli;LM Hub_SP_Mauá_Vila Nossa Senhora das Vitórias;2024-04-22 00:00:00;Address cannot be found;Delivering
BR2344111624790;396;Milty Alker;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Address cannot be found;Delivered
BR236277933180S;50;Harmonia Gush;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR239925686487P;335;Gaylene Cotton;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;App/Internet failure;Delivering
BR232795943626S;282;Allen Kerner;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR237039832078T;151;Israel Hasard;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Out of the route ;OnHold
BR231639438114P;65;Minor Alcido;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Normal;OnHold
BR2381542068611;45;Giovanna Janeway;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Out of the route ;Delivered
BR233209267813L;148;Sherilyn Steddall;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Normal;Delivered
BR2391047638493;4;Marillin Putley;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR2328002527085;361;Danie Hardman;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR238043768790O;453;Gypsy Burtonshaw;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Out of the route ;Delivering
BR236201041261U;344;Forester Vassall;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Normal;Delivered
BR2380750068671;339;Pearla Butterfill;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Normal;Delivering
BR237885483872C;385;Alyse Akett;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Address cannot be found;Delivered
BR231922462934D;140;Jase Hathorn;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR2310371558703;386;Wildon Ramsay;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Normal;OnHold
BR235957630525A;184;Glynis Blundell;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR2315572456317;309;Johnette Verillo;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR236733607943A;231;Scot Beeby;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Address cannot be found;Delivering
BR233457293009R;362;De Beteriss;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Address cannot be found;Delivering
BR238266957447U;24;Cassie Karet;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Normal;OnHold
BR2330344300006;336;Harwilll Osbourn;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR235368606594T;259;Babbette Whyatt;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Address cannot be found;Delivered
BR233401564784H;174;Corbett Goathrop;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;App/Internet failure;Delivered
BR233659544271H;316;Erskine Dybald;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR233586992193X;481;Petronella Hellis;LM Hub_SP_São Bernardo do Campo_Conj Res Pombeva;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR2396422322754;419;Catherine Brandreth;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Out of the route ;OnHold
BR2370222761571;433;Rufe Bresnahan;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Normal;Delivered
BR239625338495H;297;Olympie Guillet;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Normal;Delivered
BR2360900322422;88;Corilla Todhunter;LM Hub_MG_Belo Horizonte_São Francisco;2024-04-22 00:00:00;Address cannot be found;Delivering
BR232457828291C;232;Gwenneth Boxill;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR2325776176378;329;Daren Cutriss;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR2359486938200;112;Allys Ionnisian;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Normal;OnHold
BR230445379888T;189;Ronald Puvia;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR232806918149R;102;Walliw Touson;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Out of the route ;Delivering
BR237855337129I;197;Sim Forri;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;App/Internet failure;OnHold
BR234350157678I;219;Therine Kupis;LM Hub_MG_Contagem;2024-04-22 00:00:00;App/Internet failure;OnHold
BR2394845485692;489;Terri Muttock;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR234547147190U;457;Cicily Dillintone;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR2309981637944;309;Johnette Verillo;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;App/Internet failure;Delivering
BR239600307589S;376;Margalit Milleton;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR2355359847771;271;Wally Ferenczi;LM Hub_SC_Blumenau_Itoupava Norte;2024-04-22 00:00:00;Address cannot be found;Delivered
